Risk;CVision;TAnalytics;Bot
0;0,715943;0,459602;0,31337
1;0,442484;0,231916;0,14713
0;0,219846;0,469689;0,128072
1;0,006843;0,517423;0,02627
1;0,261182;0,375803;0,981488
0;0,833117;0,806981;0,739102
0;0,214364;0,640886;0,04214
1;0,838948;0,265607;0,801268
1;0,746807;0,464906;0,580667
0;0,02288;0,062808;0,77566
0;0,415428;0,941102;0,178035
1;0,463348;0,366147;0,860343
0;0,471072;0,509707;0,768212
1;0,940849;0,232832;0,213229
0;0,622615;0,322915;0,431086
1;0,072514;0,762487;0,234168
1;0,398185;0,955172;0,461626
0;0,348894;0,650163;0,972827
0;0,190336;0,692147;0,854975
0;0,642856;0,537149;0,235835
1;0,176187;0,519877;0,022249
0;0,2333;0,663113;0,308631
0;0,598113;0,376918;0,611937
1;0,521156;0,483371;0,612504
1;0,912261;0,153591;0,837818
1;0,654008;0,245844;0,074659
0;0,868916;0,385338;0,660874
1;0,636339;0,181475;0,343899
1;0,050798;0,038743;0,502696
1;0,99214;0,980339;0,833561
1;0,428013;0,928232;0,541432
0;0,988169;0,328706;0,238696
1;0,355773;0,045139;0,613672
1;0,517565;0,702116;0,439084
1;0,689934;0,080904;0,524296
0;0,822532;0,588878;0,353526
0;0,603319;0,579187;0,29692
1;0,057197;0,076531;0,007184
1;0,839311;0,642259;0,33928
0;0,205714;0,706627;0,842901
1;0,491812;0,495367;0,293129
0;0,571296;0,618123;0,496796
1;0,789915;0,160631;0,153475
1;0,464189;0,449349;0,614907
0;0,067449;0,247159;0,050877
0;0,82992;0,03774;0,418617
0;0,340084;0,169455;0,561102
1;0,768039;0,045482;0,106896
1;0,138741;0,212173;0,2189
0;0,098942;0,625042;0,337979
0;0,001584;0,940728;0,544533
1;0,797202;0,508638;0,997455
0;0,685322;0,956464;0,074686
1;0,464756;0,420533;0,83426
1;0,456923;0,859044;0,949091
0;0,543336;0,941083;0,742351
0;0,219991;0,157295;0,752319
0;0,484092;0,074657;0,079153
1;0,460628;0,494861;0,736194
0;0,825181;0,173613;0,107003
0;0,78433;0,491802;0,72713
1;0,929808;0,647832;0,784073
1;0,272656;0,792619;0,11044
1;0,647062;0,846489;0,73519
1;0,107395;0,179373;0,163699
1;0,049012;0,941834;0,241691
0;0,02923;0,851421;0,670785
0;0,660751;0,265176;0,238927
1;0,426628;0,442323;0,573407
1;0,081534;0,519007;0,348248
1;0,675662;0,553311;0,061927
0;0,839825;0,351863;0,302435
0;0,475082;0,948233;0,189824
1;0,033877;0,207707;0,835587
1;0,69139;0,287591;0,460578
0;0,47882;0,208939;0,756721
1;0,259855;0,110852;0,400094
1;0,417208;0,459287;0,064103
0;0,627232;0,518402;0,979548
0;0,808959;0,729462;0,692773
1;0,921643;0,734507;0,521229
1;0,804014;0,432706;0,783711
0;0,070807;0,728652;0,625511
1;0,8394;0,493009;0,079595
0;0,190533;0,094735;0,942129
1;0,597979;0,52873;0,69212
1;0,322569;0,821373;0,116627
0;0,355512;0,25243;0,286166
0;0,188369;0,372099;0,542328
0;0,397092;0,33872;0,828204
0;0,788097;0,156173;0,723696
0;0,156423;0,368005;0,979617
0;0,175545;0,561455;0,431668
0;0,212254;0,152871;0,520754
1;0,897041;0,541548;0,152789
1;0,440793;0,67368;0,116467
0;0,818957;0,846003;0,286368
0;0,677815;0,426296;0,524176
0;0,956273;0,000384;0,197141
0;0,88719;0,706916;0,419735
1;0,161302;0,422177;0,618257
0;0,516619;0,410385;0,022322
1;0,128357;0,004802;0,027174
1;0,804779;0,454097;0,764057
1;0,433874;0,62097;0,781221
0;0,516541;0,49499;0,611962
0;0,289395;0,956252;0,336132
0;0,47754;0,900513;0,940826
0;0,777333;0,572031;0,849696
0;0,735075;0,931627;0,662442
0;0,666565;0,58202;0,472267
1;0,0241;0,371152;0,478852
0;0,871338;0,204077;0,007953
0;0,019418;0,590322;0,134079
0;0,040953;0,194622;0,960912
1;0,467896;0,322204;0,917364
1;0,464458;0,30692;0,988835
1;0,522239;0,601823;0,042865
1;0,673805;0,791893;0,219281
1;0,684829;0,162146;0,53301
0;0,53062;0,601628;0,86517
0;0,143782;0,162882;0,471254
0;0,659284;0,679904;0,151883
0;0,174063;0,859078;0,480474
0;0,734801;0,03287;0,984072
1;0,648657;0,300007;0,353143
1;0,699673;0,544895;0,411963
