Risk;CVision;TAnalytics;Bot
0;0,768437;0,526138;0,710844
2;0,441047;0,224876;0,094304
6;0,429043;0,134443;0,532866
5;0,729732;0,615755;0,656165
5;0,961985;0,253621;0,190004
7;0,661329;0,574871;0,229652
9;0,033615;0,901942;0,365326
4;0,59369;0,600173;0,77882
6;0,318064;0,199365;0,058614
10;0,63193;0,426762;0,237177
3;0,959487;0,762007;0,098236
8;0,191971;0,182442;0,548286
10;0,192299;0,800475;0,287166
5;0,422553;0,043964;0,387869
5;0,522883;0,460412;0,688019
10;0,004636;0,064775;0,465097
0;0,762042;0,481609;0,495838
1;0,816406;0,687787;0,915833
5;0,322899;0,602285;0,103113
0;0,29008;0,455485;0,319969
1;0,787209;0,405409;0,519505
7;0,919866;0,556648;0,816877
5;0,643547;0,726697;0,925265
7;0,393565;0,379962;0,367721
1;0,29944;0,958369;0,520589
0;0,247173;0,63421;0,268112
7;0,928562;0,62093;0,152238
4;0,646547;0,031477;0,17453
1;0,300759;0,910515;0,712274
3;0,965751;0,245949;0,115388
1;0,4207;0,644687;0,309958
2;0,64202;0,631986;0,075654
5;0,663068;0,431222;0,28277
5;0,675856;0,947644;0,328973
10;0,879622;0,910536;0,411087
9;0,124518;0,047292;0,650124
8;0,020305;0,133324;0,115201
3;0,583941;0,566546;0,208558
4;0,122002;0,461133;0,560716
9;0,566516;0,272764;0,217837
8;0,138767;0,073462;0,48331
10;0,926711;0,726692;0,557307
9;0,380889;0,498138;0,37512
6;0,748447;0,885082;0,591318
3;0,18439;0,74928;0,69855
10;0,169689;0,81639;0,03426
0;0,349681;0,445012;0,063797
10;0,180146;0,488075;0,082994
2;0,995099;0,413116;0,992689
3;0,140675;0,689117;0,222345
9;0,413148;0,970351;0,577046
1;0,026822;0,219579;0,677908
9;0,443945;0,248749;0,749073
6;0,424864;0,6459;0,146729
3;0,152408;0,431267;0,075437
5;0,802916;0,992542;0,491982
6;0,368017;0,383259;0,023594
1;0,919075;0,300331;0,325571
4;0,256598;0,303946;0,822301
4;0,818134;0,451491;0,288593
1;0,539124;0,466736;0,595969
5;0,382138;0,791156;0,973774
10;0,961663;0,125163;0,516562
2;0,335259;0,871384;0,660458
2;0,352856;0,614539;0,66378
8;0,485655;0,006434;0,17286
10;0,039754;0,234066;0,001604
8;0,529831;0,633892;0,88391
10;0,930272;0,051538;0,229568
6;0,271839;0,357387;0,600575
10;0,388236;0,964072;0,643076
5;0,871057;0,665755;0,874733
4;0,612404;0,173765;0,450604
3;0,992632;0,207451;0,529031
4;0,728082;0,707338;0,527994
3;0,326138;0,616911;0,121525
10;0,517749;0,375978;0,189442
0;0,345661;0,09608;0,852191
0;0,266127;0,968067;0,456786
6;0,891368;0,00178;0,359928
9;0,578824;0,674749;0,47951
5;0,721423;0,300702;0,434184
3;0,123773;0,309771;0,552962
5;0,037512;0,000705;0,772953
6;0,62044;0,792563;0,57458
5;0,406825;0,792478;0,66001
1;0,960897;0,688223;0,082541
4;0,420169;0,790486;0,101189
7;0,215011;0,18945;0,509343
5;0,093488;0,635301;0,906973
5;0,093148;0,398568;0,864802
9;0,384654;0,530008;0,304606
10;0,400463;0,284612;0,701494
7;0,832054;0,233582;0,356073
8;0,520052;0,084146;0,611893
1;0,112736;0,529919;0,230993
3;0,220986;0,795535;0,475665
4;0,350962;0,540485;0,513663
4;0,363778;0,030525;0,0325
3;0,063439;0,86369;0,323773
8;0,269458;0,060869;0,702061
0;0,715943;0,459602;0,31337
6;0,442484;0,231916;0,14713
1;0,219846;0,469689;0,128072
9;0,006843;0,517423;0,02627
2;0,261182;0,375803;0,981488
9;0,833117;0,806981;0,739102
1;0,214364;0,640886;0,04214
1;0,838948;0,265607;0,801268
1;0,746807;0,464906;0,580667
2;0,02288;0,062808;0,77566
3;0,415428;0,941102;0,178035
9;0,463348;0,366147;0,860343
5;0,471072;0,509707;0,768212
7;0,940849;0,232832;0,213229
1;0,622615;0,322915;0,431086
5;0,072514;0,762487;0,234168
10;0,398185;0,955172;0,461626
6;0,348894;0,650163;0,972827
7;0,190336;0,692147;0,854975
4;0,642856;0,537149;0,235835
2;0,176187;0,519877;0,022249
9;0,2333;0,663113;0,308631
1;0,598113;0,376918;0,611937
2;0,521156;0,483371;0,612504
7;0,912261;0,153591;0,837818
5;0,654008;0,245844;0,074659
5;0,868916;0,385338;0,660874
7;0,636339;0,181475;0,343899
8;0,050798;0,038743;0,502696
6;0,99214;0,980339;0,833561
4;0,428013;0,928232;0,541432
0;0,988169;0,328706;0,238696
6;0,355773;0,045139;0,613672
4;0,517565;0,702116;0,439084
5;0,689934;0,080904;0,524296
8;0,822532;0,588878;0,353526
7;0,603319;0,579187;0,29692
1;0,057197;0,076531;0,007184
7;0,839311;0,642259;0,33928
1;0,205714;0,706627;0,842901
7;0,491812;0,495367;0,293129
10;0,571296;0,618123;0,496796
8;0,789915;0,160631;0,153475
10;0,464189;0,449349;0,614907
9;0,067449;0,247159;0,050877
1;0,82992;0,03774;0,418617
4;0,340084;0,169455;0,561102
1;0,768039;0,045482;0,106896
7;0,138741;0,212173;0,2189
2;0,098942;0,625042;0,337979
8;0,001584;0,940728;0,544533
0;0,797202;0,508638;0,997455
8;0,685322;0,956464;0,074686
4;0,464756;0,420533;0,83426
9;0,456923;0,859044;0,949091
1;0,543336;0,941083;0,742351
0;0,219991;0,157295;0,752319
7;0,484092;0,074657;0,079153
3;0,460628;0,494861;0,736194
7;0,825181;0,173613;0,107003
8;0,78433;0,491802;0,72713
2;0,929808;0,647832;0,784073
0;0,272656;0,792619;0,11044
4;0,647062;0,846489;0,73519
7;0,107395;0,179373;0,163699
10;0,049012;0,941834;0,241691
9;0,02923;0,851421;0,670785
7;0,660751;0,265176;0,238927
7;0,426628;0,442323;0,573407
5;0,081534;0,519007;0,348248
3;0,675662;0,553311;0,061927
4;0,839825;0,351863;0,302435
7;0,475082;0,948233;0,189824
6;0,033877;0,207707;0,835587
8;0,69139;0,287591;0,460578
8;0,47882;0,208939;0,756721
8;0,259855;0,110852;0,400094
8;0,417208;0,459287;0,064103
8;0,627232;0,518402;0,979548
10;0,808959;0,729462;0,692773
6;0,921643;0,734507;0,521229
5;0,804014;0,432706;0,783711
1;0,070807;0,728652;0,625511
6;0,8394;0,493009;0,079595
4;0,190533;0,094735;0,942129
3;0,597979;0,52873;0,69212
7;0,322569;0,821373;0,116627
0;0,355512;0,25243;0,286166
0;0,188369;0,372099;0,542328
4;0,397092;0,33872;0,828204
7;0,788097;0,156173;0,723696
10;0,156423;0,368005;0,979617
5;0,175545;0,561455;0,431668
4;0,212254;0,152871;0,520754
8;0,897041;0,541548;0,152789
2;0,440793;0,67368;0,116467
2;0,818957;0,846003;0,286368
6;0,677815;0,426296;0,524176
9;0,956273;0,000384;0,197141
5;0,88719;0,706916;0,419735
4;0,161302;0,422177;0,618257
6;0,516619;0,410385;0,022322
1;0,128357;0,004802;0,027174
6;0,804779;0,454097;0,764057
4;0,433874;0,62097;0,781221
5;0,516541;0,49499;0,611962
9;0,289395;0,956252;0,336132
2;0,47754;0,900513;0,940826
6;0,777333;0,572031;0,849696
3;0,735075;0,931627;0,662442
10;0,666565;0,58202;0,472267
5;0,0241;0,371152;0,478852
6;0,871338;0,204077;0,007953
6;0,019418;0,590322;0,134079
5;0,040953;0,194622;0,960912
10;0,467896;0,322204;0,917364
6;0,464458;0,30692;0,988835
9;0,522239;0,601823;0,042865
8;0,673805;0,791893;0,219281
5;0,684829;0,162146;0,53301
3;0,53062;0,601628;0,86517
10;0,143782;0,162882;0,471254
9;0,659284;0,679904;0,151883
4;0,174063;0,859078;0,480474
3;0,734801;0,03287;0,984072
0;0,648657;0,300007;0,353143
4;0,699673;0,544895;0,411963
